"Rec No","Portid","Portprincipal","Portcode","Portname","Portcountry","Portiata"
2,1,0,"JMKIN     ","Kingston                 ",0,"          "
3,2,0,"B7        ","Berth 7                  ",0,"          "
4,3,0,"MIA       ","MIAMI                    ",0,"          "
5,4,0,"JMKWL     ","Kingston Wharves         ",0,"          "
6,5,0,"NJ        ","New Jersey               ",0,"          "
7,6,0,"USNYC     ","NEW YORK                 ",0,"          "
9,7,0,"PHL       ","Port Handlers Ltd        ",0,"          "
10,8,0,"JMMBJ     ","MBY                      ",0,"          "
11,9,0,"          ","SEABOARD WAREHOUSE       ",0,"          "
12,10,0,"SB/W      ","SEABOARD WAREHOUSE       ",0,"          "
13,11,0,"MBY       ","MONTEGO BAY              ",0,"          "
14,12,0,"USMIA     ","MIAMI                    ",0,"          "
18,13,0,"          ","                         ",0,"          "
19,14,0,"JMMPH     ","Port Hanlers LTD         ",0,"          "
