"Rec No","Code","Name"
2,"JMCHQ                         ","Customs House Kingston                                                                              "
3,"JMKWL                         ","Kingston Wharves Limited & Car P                                                                    "
4,"JMKCT                         ","Kingston Conatiner Terminal (KCT                                                                    "
5,"JMALB                         ","Adolph Levy - 228                                                                                   "
6,"JMOSC                         ","One Stop Customs Clearance Centr                                                                    "
7,"JMKQW                         ","Queen's Warehouse, Spanish Town                                                                     "
8,"JMKLC                         ","Kingston Logistic Centre Ltd                                                                        "
9,"JMKFZ                         ","Kingston Free Zone                                                                                  "
10,"JMGFZ                         ","Garmex Free Zone                                                                                    "
11,"JMBFZ                         ","Bashco Single Entity Free Zone                                                                      "
12,"JMCSO                         ","Parcels Post Kingston                                                                               "
13,"JMKIN                         ","Norman Manley Int'l Airport Pass                                                                    "
14,"JMNQW                         ","Queen's Warehouse NMIA                                                                              "
15,"JMAJO                         ","AJAS1 (NMIA)                                                                                        "
16,"JMAJT                         ","AJAS2 (NMIA)                                                                                        "
17,"JMKAJ                         ","Amerijet (NMIA)                                                                                     "
18,"JMKCA                         ","Caribbean Airlines (NMIA)                                                                           "
19,"JMKDH                         ","DHL (NMIA)                                                                                          "
20,"JMKFE                         ","FEDEX (NMIA)                                                                                        "
21,"JMMHO                         ","Customs House Montego Bay                                                                           "
22,"JMMBJ                         ","Sangster International Airport P                                                                    "
23,"JMMAC                         ","Air Cargo (SIA/MBJ)                                                                                 "
24,"JMMQW                         ","Queen's Warehouse (MBJ)                                                                             "
25,"JMMSU                         ","Site Inspection Unit (MBJ)                                                                          "
26,"JMMPH                         ","Port Handlers (Wharf) (MBJ)                                                                         "
27,"JMMSB                         ","Seaboard Warehouse (MBJ)                                                                            "
28,"JMMFZ                         ","Montego Bay Free Zone                                                                               "
29,"JMSBO                         ","St Ann's Bay Customs Office                                                                         "
30,"JMOCJ                         ","Ian Fleming International Airpor                                                                    "
31,"JMOCP                         ","Ocho Rios Pier                                                                                      "
32,"JMPRH                         ","Port Rhoades                                                                                        "
33,"JMHFZ                         ","Hayes Free Zone                                                                                     "
34,"JMPEV                         ","Port Esquivel                                                                                       "
35,"JMROP                         ","Rocky Point                                                                                         "
36,"JMSRI                         ","Salt River                                                                                          "
37,"JMPOT                         ","Port Antonio (Marina)                                                                               "
38,"JMPCO                         ","Port Antonio Customs Office                                                                         "
39,"JMMCO                         ","Mandeville Customs Office                                                                           "
40,"JMBLR                         ","Black River                                                                                         "
41,"JMPKS                         ","Port Kaiser                                                                                         "
42,"JMRIB                         ","Port Rio Bueno                                                                                      "
43,"JMFMH                         ","Falmouth Pier                                                                                       "
44,"JMLUC                         ","Port Lucea                                                                                          "
45,"JMSLM                         ","Savanna-La-Mar                                                                                      "
46,"JMPMO                         ","Port Morant                                                                                         "
47,"JMPRO                         ","Port Royal                                                                                          "
48,"JMKPJ                         ","Kingston Petrojam Pier                                                                              "
49,"JMKMW                         ","Myers Wharf                                                                                         "
50,"JMKSP                         ","Shell Pier                                                                                          "
51,"JMKCC                         ","Carib Cement Pier                                                                                   "
52,"JMKAB                         ","Agean Bunkering Pier                                                                                "
53,"JMKGP                         ","Gypsum Pier                                                                                         "
54,"JMKWW                         ","Wherry Wharf                                                                                        "
55,"JMKAE                         ","Agricultural Export Complex -NMI                                                                    "
56,"JMKCP                         ","Carib Cement Coal Pier -Kingston                                                                    "
