"Rec No","Fexdtlcurrency","Fexdtldate","Fexdtlrate"
2,2,73661,50.0
3,2,73683,48.56
4,2,73682,26.0
5,2,73687,45.3
6,2,73692,72.5
7,2,75686,72.5
8,2,75916,76.5
9,2,75920,77.5
10,2,75947,78.5
11,2,75966,81.0
12,2,75986,81.5
13,2,75989,82.5
14,2,75993,83.5
15,2,75996,84.0
16,2,76000,85.5
17,2,76003,86.0
18,2,76007,87.0
19,2,76010,88.0
20,2,76015,89.0
21,2,76016,90.0
22,2,76567,88.0
23,1,76343,17.5
24,1,76595,90.0
25,2,76595,90.0
26,2,77348,96.0
27,2,77438,105.0
28,2,77603,107.0
29,2,77862,113.0
30,2,77737,110.0
31,2,77921,115.0
32,2,78173,117.0
33,2,78338,120.0
34,2,78445,123.0
35,2,78607,125.0
36,2,78662,128.0
37,2,79035,135.0
38,2,79194,130.0
39,2,79423,135.0
