"Rec No","Bolochrgbol","Bolochrgchargeitem","Bolochrgdescription","Bolochrgamount","Bolochrgcurrency","Bolochrgprepaidflag","Bolochrgfcllclflag","Bolochrgdiscountamount","Bolochrgdiscountpercent","Bolochrglastcalculated"
       83859,        27613,           42,,      291.25,            1,"Collect","Ignore",        0.00,  0.00,        0.00
       83860,        27613,           15,,      100.00,            1,"Collect","Ignore",        0.00,  0.00,        0.00
       83861,        27613,            3,,     3108.75,            1,"Collect","Ignore",        0.00,  0.00,        0.00
       83862,        27600,           15,,      100.00,            1,"Collect","Ignore",        0.00,  0.00,        0.00
       83863,        27600,           42,,      291.25,            1,"Collect","Ignore",        0.00,  0.00,        0.00
       83864,        27600,            3,,     3108.75,            1,"Collect","Ignore",        0.00,  0.00,        0.00
       83865,        27609,           15,,      100.00,            1,"Collect","Ignore",        0.00,  0.00,        0.00
       83866,        27609,           42,,      291.25,            1,"Collect","Ignore",        0.00,  0.00,        0.00
       83867,        27609,            3,,     3108.75,            1,"Collect","Ignore",        0.00,  0.00,        0.00
       83868,        27596,           42,,      291.25,            1,"Collect","Ignore",        0.00,  0.00,        0.00
       83869,        27596,           15,,      100.00,            1,"Collect","Ignore",        0.00,  0.00,        0.00
       83870,        27596,            3,,     3108.75,            1,"Collect","Ignore",        0.00,  0.00,        0.00
       83871,        27369,            3,,     3408.75,            1,"Collect","Ignore",        0.00,  0.00,        0.00
       83872,        27369,           42,,      291.25,            1,"Collect","Ignore",        0.00,  0.00,        0.00
       83873,        27369,           15,,      100.00,            1,"Collect","Ignore",        0.00,  0.00,        0.00
       83874,        27685,            3,,     2708.75,            1,"Collect","Ignore",        0.00,  0.00,        0.00
       83875,        27685,           42,,      291.25,            1,"Collect","Ignore",        0.00,  0.00,        0.00
       83876,        27685,           15,,      100.00,            1,"Collect","Ignore",        0.00,  0.00,        0.00
