"Rec No","Transid","Translinkid","Transextcode","Transintid","Transcodetype"
2,1,1,"NY             ",6,"PORT           "
3,2,1,"BR6            ",1,"PORT           "
4,3,1,"BR6            ",9,"PORT           "
5,4,1,"PKG            ",1,"PACKAGE        "
6,5,1,"PKG            ",11,"PACKAGE        "
7,6,1,"BOX            ",13,"PACKAGE        "
8,7,1,"               ",28,"PACKAGE        "
9,8,1,"               ",28,"PACKAGE        "
10,9,1,"               ",28,"PACKAGE        "
11,10,1,"               ",28,"PACKAGE        "
12,11,1,"CRT            ",4,"PACKAGE        "
13,12,1,"P              ",17,"PACKAGE        "
14,13,1,"P              ",10,"PACKAGE        "
268,15,1,"00008          ",10,"PORT           "
269,16,1,"               ",28,"PACKAGE        "
270,17,1,"               ",28,"PACKAGE        "
271,18,1,"               ",28,"PACKAGE        "
272,19,1,"               ",28,"PACKAGE        "
273,20,0,"               ",0,"               "
274,21,0,"               ",0,"               "
275,22,0,"               ",0,"               "
276,23,0,"               ",0,"               "
277,24,0,"               ",0,"               "
278,25,0,"               ",0,"               "
279,26,0,"               ",0,"               "
280,27,0,"               ",0,"               "
281,28,0,"               ",0,"               "
282,29,0,"               ",0,"               "
283,30,0,"               ",0,"               "
284,31,0,"               ",0,"               "
285,32,0,"               ",0,"               "
286,33,0,"               ",0,"               "
287,34,0,"               ",0,"               "
288,35,0,"               ",0,"               "
289,36,0,"               ",0,"               "
290,37,0,"               ",0,"               "
291,38,0,"               ",0,"               "
292,39,0,"               ",0,"               "
293,40,0,"               ",0,"               "
294,41,0,"               ",0,"               "
295,42,0,"               ",0,"               "
296,43,0,"               ",0,"               "
297,44,0,"               ",0,"               "
298,45,0,"               ",0,"               "
299,46,0,"               ",0,"               "
300,47,0,"               ",0,"               "
301,48,0,"               ",0,"               "
302,49,0,"               ",0,"               "
303,50,0,"               ",0,"               "
304,51,0,"               ",0,"               "
305,52,0,"               ",0,"               "
306,53,0,"               ",0,"               "
307,54,0,"               ",0,"               "
308,55,0,"               ",0,"               "
309,56,0,"               ",0,"               "
310,57,0,"               ",0,"               "
311,58,0,"               ",0,"               "
312,59,0,"               ",0,"               "
313,60,0,"               ",0,"               "
314,61,0,"               ",0,"               "
315,62,0,"               ",0,"               "
316,63,0,"               ",0,"               "
317,64,0,"               ",0,"               "
318,65,0,"               ",0,"               "
319,66,0,"               ",0,"               "
320,67,0,"               ",0,"               "
321,68,0,"               ",0,"               "
322,69,0,"               ",0,"               "
323,70,0,"               ",0,"               "
324,71,0,"               ",0,"               "
